text,label
"Adorei o produto de investimentos no mercado de capitais", positivo
"O serviço de instalação internet doi péssimo. Não recomendo", negativo
"Entrega rápida com atendimento excelente", positivo
"Não voltarei a comprar", negativo
"Adorei o produto, superou minhas expectativas!",positivo
"O serviço foi péssimo, não recomendo.",negativo
"Entrega rápida e atendimento excelente.",positivo
"Produto veio com defeito, estou decepcionado.",negativo
"Gostei muito da qualidade.",positivo
"Não funcionou como esperado.",negativo
"Fui muito bem atendido.",positivo
"Não voltarei a comprar.",negativo
"fiquei feliz com o serviço.",positivo
"Este produto é nota 10.",positivo
"Top esta carteira de cliente desta marca.",positivo
"Muito ruim, não gostei do atendimento.",negativo